Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
https://www.onbid.co.kr/sp/cmb/cmsnmn/commissionGuide.do?q=3BBA7FC3189E009DF3847C618507691319291118DEB64D&charset=UTF-8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
온비드 낙찰 수수료 계산,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
낙찰금액,,최소,최대,요율,가산금,,,,,,,,,
1백만원 이하,,0,1000000,0,0,,,,,,,,,
1백만원 이하~5백만원 이하,,1000000,5000000,0.017,30000,,,,,,,,,
5백만원 초과~1천만원 이하,,5000000,10000000,0.012,98000,,,,,,,,,
1천만원 초과~3천만원 이하,,10000000,30000000,0.008,158000,,,,,,,,,
3천만원 초과~5천만원 이하,,30000000,50000000,0.007,318000,,,,,,,,,
5천만원 초과~1억원 이하,,50000000,100000000,0.006,458000,,,,,,,,,
1억원 초과~3억원 이하,,100000000,300000000,0.002,758000,,,,,,,,,
3억원 초과~5억원 이하,,300000000,500000000,0.001,1158000,,,,,,,,,
5억원 초과~25억원 이하,,500000000,2500000000,0.0004,1358000,,,,,,,,,
25억원 초과~50억원 이하,,2500000000,5000000000,0.0002,2158000,,,,,,,,,
50억원 초과~150억원 이하,,5000000000,15000000000,0.0001,2658000,,,,,,,,,
150억원 초과,,15000000000,,0,3658000,,,,,,,,,
,,,,,,,,,,,,,,
감정수수료:평가금액기준,,,11925000000,,,,,,,,,,,
,,,,,,,,,,,,,,
"<토지, 일반건물(아파트 제외), 선박(광업권, 어업권 등) 일반감정의 경우>",,,,,,,,<아파트 감정의 경우>,,,,,,
과표범위,,,감정평가수수료,실비,부가가치세,감정평가료 합계,,과표범위,,,감정평가수수료,실비,부가가치세,감정평가료 합계
0,~,197727272,290000,48000,33800,371800,,0,~,200000000.0,290000,48000,33800,371800
197727272,~,200000000,116000,48000,16400,180400,,200000000,~,244804545.0,290000,48000,33800,371800
200000000,~,500000000,116000,88000,20400,224400,,244804545,~,500000000.0,101500,88000,18950,208450
500000000,~,1000000000,196000,88000,28400,312400,,500000000,~,1000000000.0,171500,88000,25950,285450
1000000000,~,5000000000,276000,88000,36400,400400,,1000000000,~,5000000000.0,241499.99999999997,88000,32950,362450
5000000000,~,10000000000,676000,88000,76400,840400,,5000000000,~,10000000000.0,591500,88000,67950,747450
10000000000,~,11925000000,1476000,88000,156400,1720400,,10000000000,~,14067856666.0,1291500,88000,137950,1517450
11925000000,~,,7200000,88000,728800,8016800,,14067856666,~,,7200000,88000,728800,8016800
