https://etax.seoul.go.kr/index.html?20250915,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
대위등기비용,,,,,,
,,,,,,
,,취득세,농어촌특별세,지방교육세,합계,
상속(농지외),,0.028,0.002,0.0016,0.031599999999999996,
상속(농지),,0.023,0.002,0.0006,0.0256,
,,,,,,
주택외,,,취득세,농어촌특별세,지방교육세,
"주택 외 매매(토지, 건물 등)",,,0.04,0.002,0.004,
"원시취득(신축), 상속(농지 외)",,,0.028,0.002,0.0016,0.031599999999999996
무상취득(증여),,,0.035,0.002,0.003,
농지,매매,신규,0.03,0.002,0.002,
,,2년이상 자경,0.015,,0.001,
,상속,,0.023,0.002,0.0006,0.0256
,,,,,,
"공시지가, 공시가격 기준으로 산출",,,,,,
토지,공시지가,,,,,
아파트,공동주택가격,,,,,
주택,개별주택가격,,,,,
건물,기본 감정가의 70% 세팅 주황색 변경되도록,,,,,
