Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,기본저감률,Unnamed: 6,저감률_30,Unnamed: 8,저감률_30_20,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
지역,법원,유찰시 저감률,,,20,회차,30.0,회차,"30%, 20%저감",회차,,,,
서울,중앙지방법원,0.2,,,0.08589934592000005,12,0.019773267429999988,12,0.07516192768000002,12,,,,
,동부지방법원,0.2,,,0.10737418240000006,11,0.028247524899999984,11,0.09395240960000001,11,,,,
,서부지방법원,0.2,,,0.13421772800000006,10,0.04035360699999998,10,0.11744051200000001,10,,,,
,남부지방법원,0.2,,,0.1677721600000001,9,0.05764800999999997,9,0.14680064,9,,,,
,북부지방법원,0.2,,,0.2097152000000001,8,0.08235429999999996,8,0.18350080000000002,8,,,,
경기,의정부지방법원,0.3,,,0.2621440000000001,7,0.11764899999999995,7,0.22937600000000002,7,,,,
,남양주지원,0.3,,,0.32768000000000014,6,0.16806999999999994,6,0.28672000000000003,6,,,,
,고양지원,0.3,,,0.40960000000000013,5,0.24009999999999992,5,0.3584,5,,,,
,수원지방법원,0.3,,,0.5120000000000001,4,0.3429999999999999,4,0.44799999999999995,4,,,,
,성남지원,0.3,,,0.6400000000000001,3,0.48999999999999994,3,0.5599999999999999,3,,,,
,여주지원,0.3,,,0.8,2,0.7,2,0.7,2,,,,
,평택지원,0.3,,,1,1,1.0,1,1,1,,,,
,안산지원,0.3,,,,,,,,,,,,
,안양지원,0.2,<-추가,,,,,,,,,,,
인천,인천지방법원,0.3,,,,,,,,,,,,
,부천지원,0.3,,,,,,,,,,,,
강원도,춘천지방법원,0.3,,,기본저감률,20%저감,,51600000,,,,,,
,강릉지원,0.3,,,저감률_30,30%저감,,36120000,0.7,,,,,
,원주지원,0.3,,,저감률_30_20,"30%,20%저감",,25284000,0.7,,,,,
,속초지원,0.3,,,저감률_25,25%저감,,,,,,,,
,영월지원,0.3,,,,,,,,,,,,
충남,대전지방법원,0.3,,,,,,,,,,,,
,천안지원,0.3,,,,,,,,,,,,
,서산지원,0.3,,,,,,,,,,,,
,홍성지원,0.3,,,,,,,,,,,,
,논산지원,0.3,,,,,,,,,,,,
,공주지원,0.3,,,,,,,,,,,,
충북,청주지방법원,0.3,,,,,,,,,,,,
,충주지원,0.2,,,,,,,,,,,,
,영동지원,0.2,,,,,,,,,,,,
,제천지원,0.2,,,,,,557419000,,,,,,
부산,부산지방법원,0.3,,,,,,445935000,0.7999996412034753,,,,,
,부산동부지원,0.3,,,,,,356748000,0.8,,,,,
,부산서부지원,0.3,30% 인지 확인필요,,,,,,,,,,,
,부산지방법원 11계,선박 40% / 차량 30%,<-추가,,,,,,,,,,,
경남,울산지방법원,0.3,,,,,,,,,,,,
,창원지방법원,0.2,,,,,,,,,,,,
,진주지원,0.2,,,,,,,,,,,,
,마산지원,0.2,<-추가,,,,,,,,,,,
,통영지원,0.2,,,,,,,,,,,,
,밀양지원,0.2,,,,,,,,,,,,
,거창지원,0.2,,,,,,,,,,,,
경북,대구지방법원,0.3,,,,,,,,,,,,
,대구지방법원 서부지원,0.3,,,,,,,,,,,,
,경주지원,0.3,,,,,,,,,,,,
,포항지원,0.3,,,,,,,,,,,,
,김천지원,0.3,,,,,,,,,,,,
,안동지원,0.3,,,,,,,,,,,,
,상주지원,0.3,,,,,,,,,,,,
,영덕지원,0.3,,,,,,,,,,,,
,의성지원,0.3,,,,,,,,,,,,
전남,광주지방법원,30% / 20%,"1회 30%, 2회 이후 20%",,,,,,,,,,,
,순천지원,30% / 20%,"1회 30%, 2회 이후 20%",,,,,,,,,,,
,해남지원,30% / 20%,"1회 30%, 2회 이후 20%",,,,,,,,,,,
,장흥지원 2계,0.2,변경있는지 확인,,,,,,,,,,,
,장흥지원 1계,30% / 20%,변경있는지 확인,,,,,,,,,,,
,목포지원,30% / 20%,"1회 30%, 2회 이후 20%",,,,,,,,,,,
전북,전주지방법원,0.3,,,,,,,,,,,,
,군산지원,0.3,,,,,,,,,,,,
,정읍지원,0.3,,,,,,,,,,,,
,남원지원,0.3,,,,,,,,,,,,
제주,제주지방법원,0.3,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,충주 20%
